Entity,Code,Year,smaller_than_140m,between_140m_and_1km,larger_than_1km
World,OWID_WRL,1900,0,0,1
World,OWID_WRL,1910,0,0,1
World,OWID_WRL,1920,0,0,3
World,OWID_WRL,1930,0,0,5
World,OWID_WRL,1940,0,1,8
World,OWID_WRL,1950,0,1,12
World,OWID_WRL,1960,0,2,18
World,OWID_WRL,1970,0,3,24
World,OWID_WRL,1980,0,8,43
World,OWID_WRL,1990,0,46,88
World,OWID_WRL,2000,115,467,298
World,OWID_WRL,2001,169,694,380
World,OWID_WRL,2002,261,983,440
World,OWID_WRL,2003,365,1303,504
World,OWID_WRL,2004,485,1573,555
World,OWID_WRL,2005,681,1867,603
World,OWID_WRL,2006,934,2196,652
World,OWID_WRL,2007,1206,2534,682
World,OWID_WRL,2008,1517,2847,708
World,OWID_WRL,2009,1934,3214,728
World,OWID_WRL,2010,2835,3896,762
World,OWID_WRL,2011,3369,4273,777
World,OWID_WRL,2012,3949,4637,795
World,OWID_WRL,2013,4594,5020,807
World,OWID_WRL,2014,5580,5487,813
World,OWID_WRL,2015,6547,5990,821
World,OWID_WRL,2016,7948,6551,827
World,OWID_WRL,2017,9398,7062,834
World,OWID_WRL,2018,10837,7508,839
World,OWID_WRL,2019,12715,8019,846
World,OWID_WRL,2020,15072,8554,849
World,OWID_WRL,2021,17786,9039,854
World,OWID_WRL,2022,20656,9499,858
